Name_number,Name_submitted,Overall_score,Name_matched,Name_matched_rank,Name_score,Name_matched_author,Name_matched_url,Author_matched,Author_score,Family_matched,Family_score,Name_matched_accepted_family,Genus_matched,Genus_score,Specific_epithet_matched,Specific_epithet_score,Infraspecific_rank,Infraspecific_epithet_matched,Infraspecific_epithet_score,Infraspecific_rank_2,Infraspecific_epithet_2_matched,Infraspecific_epithet_2_score,Annotations,Unmatched_terms,Taxonomic_status,Accepted_name,Accepted_name_author,Accepted_name_rank,Accepted_name_url,Accepted_name_species,Accepted_name_family,Selected,Source,Warnings,Accepted_name_lsid
0,pentagonia subauriculata,1,Pentagonia subauriculata,species,1,Standl.,http://www.theplantlist.org/tpl1.1/record/kew-149814;http://www.tropicos.org/Name/27904115,,,,,Rubiaceae,Pentagonia,1,subauriculata,1,,,,,,,,,Accepted,Pentagonia subauriculata,Standl.,species,http://www.theplantlist.org/tpl1.1/record/kew-149814;http://www.tropicos.org/Name/27904115,Pentagonia subauriculata,Rubiaceae,TRUE,tpl;tropicos, ,
1,dioclea sp.,0.9,Dioclea,genus,1,,http://www.theplantlist.org/tpl1.1/search?q=Dioclea,,,,,Fabaceae,Dioclea,1,,,,,,,,,,sp.,Accepted,Dioclea,,genus,http://www.theplantlist.org/tpl1.1/search?q=Dioclea,,Fabaceae,TRUE,tpl, ,
1,dioclea sp.,0.9,Dioclea,genus,1,,http://www.theplantlist.org/tpl1.1/search?q=Dioclea,,,,,Fabaceae,Dioclea,1,,,,,,,,,,sp.,No opinion,,,,,,,FALSE,tpl, ,
1,dioclea sp.,0.9,Dioclea,genus,1,,http://www.ildis.org/LegumeWeb?version~10.01&genus~Dioclea,,,,,Fabaceae,Dioclea,1,,,,,,,,,,sp.,No opinion,,,,,,,FALSE,ildis, ,
1,dioclea sp.,0.9,Dioclea,genus,1,Kunth,http://www.tropicos.org/Name/40031671,,,,,Fabaceae,Dioclea,1,,,,,,,,,,sp.,Accepted,Dioclea,Kunth,genus,http://www.tropicos.org/Name/40031671,,Fabaceae,FALSE,tropicos, ,
1,dioclea sp.,0.9,Dioclea,genus,1,Spreng.,http://www.tropicos.org/Name/40031673,,,,,Boraginaceae,Dioclea,1,,,,,,,,,,sp.,Illegitimate,,,,,,,FALSE,tropicos, ,
1,dioclea sp.,0.9,Dioclea,genus,1,,http://plants.usda.gov/java/profile?symbol=DIOCL,,,,,Fabaceae,Dioclea,1,,,,,,,,,,sp.,Accepted,Dioclea,,genus,http://plants.usda.gov/java/profile?symbol=DIOCL,,Fabaceae,FALSE,usda, ,
2,garcinia intermedia,1,Garcinia intermedia,species,1,(Pittier) Hammel,http://www.theplantlist.org/tpl1.1/record/kew-2816907;http://www.tropicos.org/Name/7801142,,,,,Clusiaceae,Garcinia,1,intermedia,1,,,,,,,,,Accepted,Garcinia intermedia,(Pittier) Hammel,species,http://www.theplantlist.org/tpl1.1/record/kew-2816907;http://www.tropicos.org/Name/7801142,Garcinia intermedia,Clusiaceae,TRUE,tpl;tropicos, ,
3,solanum sp.,0.9,Solanum,genus,1,,http://www.theplantlist.org/tpl1.1/search?q=Solanum,,,,,Solanaceae,Solanum,1,,,,,,,,,,sp.,Accepted,Solanum,,genus,http://www.theplantlist.org/tpl1.1/search?q=Solanum,,Solanaceae,TRUE,tpl, ,
3,solanum sp.,0.9,Solanum,genus,1,,http://www.theplantlist.org/tpl1.1/search?q=Solanum,,,,,Solanaceae,Solanum,1,,,,,,,,,,sp.,No opinion,,,,,,,FALSE,tpl, ,
3,solanum sp.,0.9,Solanum,genus,1,L.,http://www.tropicos.org/Name/40001681,,,,,Solanaceae,Solanum,1,,,,,,,,,,sp.,Accepted,Solanum,L.,genus,http://www.tropicos.org/Name/40001681,,Solanaceae,FALSE,tropicos, ,
3,solanum sp.,0.9,Solanum,genus,1,,http://plants.usda.gov/java/profile?symbol=SOLAN,,,,,Solanaceae,Solanum,1,,,,,,,,,,sp.,Accepted,Solanum,,genus,http://plants.usda.gov/java/profile?symbol=SOLAN,,Solanaceae,FALSE,usda, ,
4,palicourea quadrifolia,1,Palicourea quadrifolia,species,1,(Rudge) DC.,http://www.theplantlist.org/tpl1.1/record/kew-146255;http://www.tropicos.org/Name/27908427,,,,,Rubiaceae,Palicourea,1,quadrifolia,1,,,,,,,,,Accepted,Palicourea quadrifolia,(Rudge) DC.,species,http://www.theplantlist.org/tpl1.1/record/kew-146255;http://www.tropicos.org/Name/27908427,Palicourea quadrifolia,Rubiaceae,TRUE,tpl;tropicos, ,
5,cassia sp.,0.9,Cassia,genus,1,,http://www.theplantlist.org/tpl1.1/search?q=Cassia;http://plants.usda.gov/java/profile?symbol=CASSI,,,,,Fabaceae,Cassia,1,,,,,,,,,,sp.,Accepted,Cassia,,genus,http://www.theplantlist.org/tpl1.1/search?q=Cassia;http://plants.usda.gov/java/profile?symbol=CASSI,,Fabaceae,TRUE,tpl;usda, ,
5,cassia sp.,0.9,Cassia,genus,1,,http://www.ildis.org/LegumeWeb?version~10.01&genus~Cassia,,,,,Fabaceae,Cassia,1,,,,,,,,,,sp.,No opinion,,,genus,http://www.theplantlist.org/tpl1.1/search?q=Cassia,,Fabaceae,FALSE,ildis, ,
5,cassia sp.,0.9,Cassia,genus,1,L.,http://www.tropicos.org/Name/40002316,,,,,Fabaceae,Cassia,1,,,,,,,,,,sp.,Accepted,Cassia,L.,genus,http://www.tropicos.org/Name/40002316,,Fabaceae,FALSE,tropicos, ,
6,cordia nodosa,1,Cordia nodosa,species,1,Lam.,http://www.theplantlist.org/tpl1.1/record/kew-2737050;http://www.tropicos.org/Name/4001143,,,,,Boraginaceae,Cordia,1,nodosa,1,,,,,,,,,Accepted,Cordia nodosa,Lam.,species,http://www.theplantlist.org/tpl1.1/record/kew-2737050;http://www.tropicos.org/Name/4001143,Cordia nodosa,Boraginaceae,TRUE,tpl;tropicos, ,
7,ladenbergia sp.,0.9,Ladenbergia,genus,1,,http://www.theplantlist.org/tpl1.1/search?q=Ladenbergia,,,,,Rubiaceae,Ladenbergia,1,,,,,,,,,,sp.,Accepted,Ladenbergia,,genus,http://www.theplantlist.org/tpl1.1/search?q=Ladenbergia,,Rubiaceae,TRUE,tpl, ,
7,ladenbergia sp.,0.9,Ladenbergia,genus,1,Klotzsch,http://www.tropicos.org/Name/40000981,,,,,Rubiaceae,Ladenbergia,1,,,,,,,,,,sp.,Accepted,Ladenbergia,Klotzsch,genus,http://www.tropicos.org/Name/40000981,,Rubiaceae,FALSE,tropicos, ,
