Name_submitted,Name_matched,Author_matched,Overall_score,Taxonomic_status,Accepted_name,Accepted_author,Accepted_family,Source,Warnings,Accepted_name_lsid
Adenostoma fasciculatum,Adenostoma fasciculatum,,1,Accepted,Adenostoma fasciculatum,Hook. & Arn.,Rosaceae,tropicos;usda, ,
Arbutus menziesii,Arbutus menziesii,,1,Accepted,Arbutus menziesii,Pursh,Ericaceae,tropicos;usda, ,
Arctostaphylos tomentosa,Arctostaphylos tomentosa,,1,Accepted,Arctostaphylos tomentosa,(Pursh) Lindl.,Ericaceae,tropicos;usda, ,
Artemisia californica,Artemisia californica,,1,Accepted,Artemisia californica,Less.,Asteraceae,tropicos;gcc;usda, ,
Baccharis pilularis,Baccharis pilularis,,1,Accepted,Baccharis pilularis,DC.,Asteraceae,tropicos;gcc;usda, ,
Ceanothus cuneatus,Ceanothus cuneatus,,1,Accepted,Ceanothus cuneatus,(Hook.) Nutt.,Rhamnaceae,tropicos;usda, ,
Ceanothus oliganthus,Ceanothus oliganthus,,1,Accepted,Ceanothus oliganthus,Nutt.,Rhamnaceae,tropicos;usda, ,
Cercocarpus betuloides,Cercocarpus betuloides,,1,Accepted,Cercocarpus betuloides,Nutt.,Rosaceae,tropicos, ,
Clematis lasiantha,Clematis lasiantha,,1,Accepted,Clematis lasiantha,Nutt.,Ranunculaceae,tropicos;usda, ,
Dirca occidentalis,Dirca occidentalis,,1,Accepted,Dirca occidentalis,A. Gray,Thymelaeaceae,tropicos;usda, ,
Eriodictyon californicum,Eriodictyon californicum,,1,Accepted,Eriodictyon californicum,(Hook. & Arn.) Torr.,Boraginaceae,tropicos;usda, ,
Heteromeles arbutifolia,Heteromeles arbutifolia,,1,Accepted,Heteromeles arbutifolia,(Lindl.) M. Roem.,Rosaceae,tropicos;usda, ,
Holodiscus discolor,Holodiscus discolor,,1,Accepted,Holodiscus discolor,(Pursh) Maxim.,Rosaceae,tropicos;usda, ,
Lepechinia calycina,Lepechinia calycina,,1,Accepted,Lepechinia calycina,(Benth.) Epling ex Munz,Lamiaceae,tropicos;usda, ,
Lonicera hispidula,Lonicera hispidula,,1,Accepted,Lonicera hispidula,Douglas ex Torr. & A. Gray,Caprifoliaceae,tropicos, ,
Lotus scoparius,Lotus scoparius,,1,Accepted,Lotus scoparius,(Torr. & A. Gray) Ottley,Fabaceae,tropicos, ,
Mimulus aurantiacus,Mimulus aurantiacus,,1,Accepted,Mimulus aurantiacus,Curtis,Phrymaceae,tropicos, ,
Pickeringia montana,Pickeringia montana,,1,Accepted,Pickeringia montana,Nutt.,Fabaceae,tropicos, ,
Prunus ilicifolia,Prunus ilicifolia,,1,Accepted,Prunus ilicifolia,(Nutt. ex Hook. & Arn.) D. Dietr.,Rosaceae,tropicos;usda, ,
Quercus agrifolia,Quercus agrifolia,,1,Accepted,Quercus agrifolia,Née,Fagaceae,tropicos;usda, ,
