node.id,light,x.coord,y.coord
1,938,0.46875,0.46875
2,963,0.69875,0.46875
3,991,0.92875,0.46875
4,992,1.15875,0.46875
5,964,1.38875,0.46875
6,930,1.61875,0.46875
7,860,1.84875,0.46875
8,970,0.46875,0.70875
9,998,0.69875,0.70875
10,1014,0.92875,0.70875
11,1014,1.15875,0.70875
12,992,1.38875,0.70875
13,952,1.61875,0.70875
14,897,1.84875,0.70875
15,976,0.46875,0.94875
16,1010,0.69875,0.94875
17,1039,0.92875,0.94875
18,1037,1.15875,0.94875
19,1014,1.38875,0.94875
20,975,1.61875,0.94875
21,917,1.84875,0.94875
22,971,0.46875,1.18875
23,1010,0.69875,1.18875
24,1036,0.92875,1.18875
25,1033,1.15875,1.18875
26,1022,1.38875,1.18875
27,992,1.61875,1.18875
28,917,1.84875,1.18875
29,979,0.46875,1.42875
30,1019,0.69875,1.42875
31,1027,0.92875,1.42875
32,1038,1.15875,1.42875
33,1023,1.38875,1.42875
34,998,1.61875,1.42875
35,937,1.84875,1.42875
36,988,0.46875,1.66875
37,1004,0.69875,1.66875
38,1039,0.92875,1.66875
39,1054,1.15875,1.66875
40,1041,1.38875,1.66875
41,1012,1.61875,1.66875
42,947,1.84875,1.66875
43,984,0.46875,1.90875
44,1009,0.69875,1.90875
45,1040,0.92875,1.90875
46,1054,1.15875,1.90875
47,1041,1.38875,1.90875
48,1013,1.61875,1.90875
49,948,1.84875,1.90875
50,972,0.46875,2.14875
51,1001,0.69875,2.14875
52,1031,0.92875,2.14875
53,1043,1.15875,2.14875
54,1025,1.38875,2.14875
55,995,1.61875,2.14875
56,939,1.84875,2.14875
57,960,0.46875,2.38875
58,998,0.69875,2.38875
59,1032,0.92875,2.38875
60,1039,1.15875,2.38875
61,1018,1.38875,2.38875
62,988,1.61875,2.38875
63,936,1.84875,2.38875
64,964,0.46875,2.62875
65,992,0.69875,2.62875
66,1023,0.92875,2.62875
67,1038,1.15875,2.62875
68,1019,1.38875,2.62875
69,993,1.61875,2.62875
70,936,1.84875,2.62875
71,952,0.46875,2.86875
72,990,0.69875,2.86875
73,1011,0.92875,2.86875
74,1020,1.15875,2.86875
75,1000,1.38875,2.86875
76,980,1.61875,2.86875
77,931,1.84875,2.86875
78,940,0.46875,3.10875
79,969,0.69875,3.10875
80,1001,0.92875,3.10875
81,1003,1.15875,3.10875
82,993,1.38875,3.10875
83,968,1.61875,3.10875
84,926,1.84875,3.10875
85,935,0.46875,3.34875
86,973,0.69875,3.34875
87,1002,0.92875,3.34875
88,1000,1.15875,3.34875
89,987,1.38875,3.34875
90,971,1.61875,3.34875
91,913,1.84875,3.34875
92,935,0.46875,3.58875
93,975,0.69875,3.58875
94,996,0.92875,3.58875
95,999,1.15875,3.58875
96,984,1.38875,3.58875
97,961,1.61875,3.58875
98,904,1.84875,3.58875
99,919,0.46875,3.82875
100,958,0.69875,3.82875
101,983,0.92875,3.82875
102,987,1.15875,3.82875
103,975,1.38875,3.82875
104,956,1.61875,3.82875
105,906,1.84875,3.82875
106,918,0.46875,4.06875
107,958,0.69875,4.06875
108,980,0.92875,4.06875
109,988,1.15875,4.06875
110,973,1.38875,4.06875
111,954,1.61875,4.06875
112,900,1.84875,4.06875
113,915,0.46875,4.30875
114,960,0.69875,4.30875
115,984,0.92875,4.30875
116,992,1.15875,4.30875
117,977,1.38875,4.30875
118,954,1.61875,4.30875
119,906,1.84875,4.30875
120,895,0.46875,4.54875
121,953,0.69875,4.54875
122,963,0.92875,4.54875
123,971,1.15875,4.54875
124,959,1.38875,4.54875
125,940,1.61875,4.54875
126,889,1.84875,4.54875
127,880,0.46875,4.78875
128,906,0.69875,4.78875
129,938,0.92875,4.78875
130,945,1.15875,4.78875
131,933,1.38875,4.78875
132,906,1.61875,4.78875
133,857,1.84875,4.78875
134,863,0.46875,5.02875
135,889,0.69875,5.02875
136,929,0.92875,5.02875
137,939,1.15875,5.02875
138,927,1.38875,5.02875
139,903,1.61875,5.02875
140,852,1.84875,5.02875
