sp.id,l,v,p,r,x,lv,lvp,lvpr,whole,whole.2,type,soil
C-01,119.81993,105.09385,14.582593,12.69326,7.791466,111.59951,110.42706,105.7426,103.04367,110.42706,compound,C
C-02,141.4604,114.01623,NaN,NaN,19.608124,125.27789,NaN,NaN,120.75423,120.75423,simple,C
C-03,142.69537,113.33109,10.346374,NaN,8.682815,125.82199,124.52247,124.52247,105.38927,124.52247,compound,C
C-04,134.81487,114.12266,20.903082,16.663267,15.336979,123.03951,120.88574,117.99645,113.59969,120.88574,compound,C
C-05,114.94042,102.82335,NaN,NaN,20.062488,108.33632,NaN,NaN,106.37616,106.37616,simple,C
C-06,132.85234,107.68501,14.841059,9.854723,7.451061,118.66312,115.35404,107.95811,98.27381,115.35404,compound,C
C-07,115.57199,92.82716,NaN,NaN,7.756129,102.56253,NaN,NaN,97.07009,97.07009,simple,C
C-08,166.6544,146.83606,NaN,NaN,12.271438,155.39591,NaN,NaN,148.04595,148.04595,simple,C
C-09,116.48157,96.27952,NaN,NaN,14.241995,104.63619,NaN,NaN,98.42797,98.42797,simple,C
C-10,219.90725,175.0188,NaN,NaN,NaN,193.52033,NaN,NaN,193.52033,NaN,simple,C
C-11,105.93246,94.2532,NaN,NaN,13.05587,99.57317,NaN,NaN,97.13793,97.13793,simple,C
C-12,143.75678,109.31846,NaN,NaN,10.804826,123.74906,NaN,NaN,118.23332,118.23332,simple,C
C-13,80.92784,69.07657,15.968729,11.516511,7.781214,74.23472,72.75475,66.99478,63.25118,72.75475,compound,C
S-01,114.75442,88.74116,14.218382,8.378186,10.443219,99.61122,96.49741,88.38153,82.41471,96.49741,compound,S
S-02,77.46117,63.91232,NaN,NaN,6.827191,69.57948,NaN,NaN,67.19965,67.19965,simple,S
S-03,120.75665,90.42754,NaN,NaN,17.071562,103.03314,NaN,NaN,100.21991,100.21991,simple,S
S-04,149.63511,134.7259,12.7036,17.185987,11.782138,141.15436,138.46921,135.79073,133.19653,138.46921,compound,S
S-05,123.455,106.15984,14.025823,NaN,NaN,113.77146,NaN,NaN,111.12784,111.12784,simple,S
S-06,173.0114,139.66463,NaN,NaN,15.750275,153.23271,NaN,NaN,146.70747,146.70747,simple,S
S-07,108.33676,91.93191,12.103377,NaN,11.184997,101.03134,99.73779,99.73779,96.7435,99.73779,compound,S
S-08,93.32426,77.96497,NaN,NaN,10.6847,84.38352,NaN,NaN,82.12326,82.12326,simple,S
S-09,110.87269,87.97474,11.020547,6.195496,5.543797,97.99603,95.09412,83.29018,73.92753,95.09412,compound,S
S-10,160.03616,141.92035,NaN,NaN,22.38,150.288,NaN,NaN,148.81143,148.81143,simple,S
S-11,149.42412,129.05325,NaN,NaN,11.57125,137.95156,NaN,NaN,135.51212,135.51212,simple,S
S-12,102.59334,89.80527,NaN,NaN,11.184656,95.42515,NaN,NaN,93.07485,93.07485,simple,S
S-13,127.64951,113.31662,NaN,NaN,16.800736,119.80199,NaN,NaN,115.50777,115.50777,simple,S
S-14,165.41569,142.02434,38.985168,18.446824,13.554482,152.29807,150.88601,141.55315,135.44566,150.88601,compound,S
S-15,121.15523,106.87713,13.937635,14.522939,7.759287,113.1559,111.94978,104.6398,102.23566,111.94978,compound,S
S-17,104.9613,87.88415,9.811098,7.210374,9.222037,95.96634,93.42307,86.94724,82.63666,93.42307,compound,S
S-18,152.35847,135.25826,NaN,33.503267,17.138889,142.54992,142.54992,136.62524,134.79009,142.54992,compound,S
S-19,127.03545,108.84495,12.954648,13.477882,10.217334,116.81347,112.98694,106.11515,98.23226,112.98694,compound,S
S-20,103.3076,88.37729,NaN,NaN,14.798525,94.04894,NaN,NaN,90.251,90.251,simple,S
S-21,121.54992,106.94231,12.371871,14.91132,9.314157,113.40333,110.05999,107.92644,100.53382,110.05999,compound,S
