	D1.1	D1.10	D1.11	D1.12	D1.13	D1.14	D1.15	D1.16	D1.17	D1.18	D1.19	D1.2	D1.20	D1.21	D1.22	D1.23	D1.24	D1.25	D1.26	D1.27	D1.28	D1.29	D1.3	D1.30	D1.31	D1.32	D1.33	D1.34	D1.4	D1.5	D1.6	D1.7	D1.8	D1.9	D2.1	D2.10	D2.11	D2.12	D2.13	D2.14	D2.15	D2.16	D2.17	D2.18	D2.19	D2.2	D2.20	D2.21	D2.22	D2.23	D2.24	D2.25	D2.26	D2.27	D2.28	D2.29	D2.3	D2.30	D2.31	D2.32	D2.33	D2.4	D2.5	D2.6	D2.7	D2.8	D2.9	D3.1	D3.10	D3.11	D3.12	D3.13	D3.14	D3.15	D3.16	D3.17	D3.18	D3.19	D3.2	D3.20	D3.21	D3.22	D3.23	D3.24	D3.25	D3.26	D3.27	D3.28	D3.29	D3.3	D3.30	D3.31	D3.32	D3.33	D3.34	D3.35	D3.36	D3.37	D3.38	D3.39	D3.4	D3.40	D3.41	D3.42	D3.43	D3.44	D3.45	D3.46	D3.47	D3.48	D3.49	D3.5	D3.50	D3.51	D3.52	D3.53	D3.54	D3.6	D3.7	D3.8	D3.9	D4.1	D4.10	D4.11	D4.12	D4.13	D4.14	D4.15	D4.16	D4.17	D4.18	D4.19	D4.2	D4.20	D4.21	D4.22	D4.23	D4.24	D4.25	D4.26	D4.27	D4.28	D4.29	D4.3	D4.30	D4.31	D4.32	D4.33	D4.34	D4.35	D4.36	D4.37	D4.38	D4.39	D4.4	D4.40	D4.41	D4.42	D4.43	D4.44	D4.45	D4.46	D4.47	D4.48	D4.49	D4.5	D4.50	D4.51	D4.52	D4.53	D4.54	D4.55	D4.56	D4.57	D4.58	D4.59	D4.6	D4.60	D4.61	D4.62	D4.63	D4.64	D4.65	D4.66	D4.67	D4.68	D4.69	D4.7	D4.70	D4.71	D4.72	D4.73	D4.74	D4.75	D4.8	D4.9
D1.1	0	0.7148	0.7331	0.6999	0.7176	0.7349	0.7003	0.8894	0.653	0.6667	0.6658	0.657	0.6536	0.6717	0.6732	0.6858	0.6602	0.7406	0.69	0.695	0.6965	0.7016	0.6611	0.7064	0.7264	0.7746	0.6899	0.8031	0.6542	0.7513	0.825	0.6571	0.7877	0.6559	0.7565	0.8005	0.7755	0.7919	0.8021	0.7728	0.8733	0.7568	0.7664	0.7678	0.7572	0.7608	0.7684	0.77	0.7781	0.7634	0.7963	0.7676	0.7728	0.7737	0.7735	0.7823	0.7623	0.7906	0.8282	0.7701	0.8217	0.7596	0.8079	0.7608	0.8193	0.7718	0.7877	0.7609	0.7664	0.8247	0.7721	0.791	0.8	0.7791	0.8255	0.7797	0.795	0.8005	0.7636	0.7812	0.8327	0.7745	0.7924	0.9082	0.7612	0.7641	0.7723	0.775	0.769	0.7674	0.7609	0.7672	0.774	0.77	0.7813	0.7812	0.7899	0.7654	0.7649	0.8199	0.7623	0.7697	0.786	0.7787	0.7745	0.781	0.7734	0.8106	0.7803	0.7754	0.8127	0.7685	0.8214	0.8567	0.7719	0.7752	0.8652	0.7648	0.7656	0.814	0.7665	0.7541	0.7614	0.7939	0.7775	0.7577	0.7619	0.7917	0.7635	0.7759	0.7898	0.8049	0.7565	0.7682	0.7803	0.8302	0.7766	0.7758	0.7962	0.8045	0.7713	0.7774	0.8377	0.7599	0.7813	0.7676	0.7914	0.8767	0.7553	0.7564	0.7594	0.7674	0.7679	0.7721	0.7643	0.7608	0.7548	0.7572	0.7655	0.7709	0.7645	0.7609	0.7818	0.773	0.7809	0.7551	0.7885	0.76	0.7573	0.7604	0.8085	0.7641	0.7665	0.7885	0.7693	0.7649	0.7585	0.7752	0.7734	0.7623	0.7768	0.8358	0.7686	0.7685	0.7761	0.8135	0.8156	0.7631	0.8251	0.8575	0.7656	0.7627	0.7776	0.8549	0.7617	0.7576
D1.10	0.7148	0	0.7449	0.7159	0.7316	0.7463	0.7161	0.8912	0.715	0.7238	0.7234	0.6811	0.7152	0.7291	0.7301	0.7398	0.7209	0.7815	0.7073	0.7118	0.7128	0.7177	0.7208	0.7221	0.7387	0.7822	0.7073	0.8099	0.7159	0.7895	0.8498	0.7181	0.8187	0.7123	0.7889	0.8236	0.8027	0.8159	0.8247	0.801	0.8853	0.7895	0.7962	0.7976	0.7895	0.7924	0.7988	0.7996	0.8061	0.7944	0.8211	0.7965	0.8001	0.8012	0.8009	0.8087	0.7938	0.8146	0.8472	0.7985	0.8408	0.7912	0.8307	0.7926	0.8404	0.7994	0.8126	0.7911	0.7952	0.8431	0.7987	0.8139	0.8212	0.8044	0.8431	0.8048	0.8174	0.8217	0.7935	0.8066	0.849	0.8007	0.8151	0.9144	0.7914	0.7941	0.7997	0.8024	0.7976	0.7961	0.791	0.7958	0.8018	0.7984	0.807	0.8077	0.8146	0.7949	0.7945	0.8393	0.7925	0.797	0.8099	0.8037	0.801	0.8062	0.7999	0.83	0.8056	0.8014	0.8317	0.7976	0.8402	0.8701	0.7988	0.801	0.8768	0.7944	0.7945	0.8347	0.7957	0.7855	0.7911	0.818	0.8042	0.7884	0.7913	0.8156	0.7916	0.8018	0.8129	0.8255	0.7875	0.7955	0.8051	0.8463	0.8021	0.8019	0.8181	0.8252	0.7981	0.8033	0.853	0.7904	0.8064	0.795	0.8142	0.8866	0.7862	0.7877	0.7895	0.7956	0.796	0.7996	0.7934	0.7906	0.7858	0.788	0.7945	0.799	0.7941	0.7909	0.8077	0.8009	0.8068	0.7864	0.8127	0.7901	0.7882	0.7904	0.8298	0.7919	0.7944	0.8115	0.796	0.7928	0.7888	0.8009	0.7992	0.7909	0.802	0.8515	0.7955	0.7957	0.8016	0.8322	0.8351	0.7924	0.8431	0.8704	0.7933	0.7911	0.8032	0.8682	0.7911	0.7883
D1.11	0.7331	0.7449	0	0.7333	0.7471	0.7612	0.7338	0.8957	0.733	0.741	0.7401	0.7361	0.7335	0.7463	0.7462	0.7559	0.7384	0.7935	0.7261	0.7293	0.7305	0.7353	0.7001	0.7392	0.7549	0.7961	0.7259	0.8197	0.7342	0.8007	0.8572	0.7357	0.828	0.7302	0.803	0.8339	0.8152	0.8273	0.835	0.813	0.891	0.8035	0.8093	0.8106	0.8036	0.8059	0.812	0.8124	0.8185	0.8079	0.8324	0.8096	0.8128	0.8135	0.8137	0.8207	0.8071	0.8261	0.8564	0.811	0.85	0.8048	0.8412	0.8063	0.8498	0.8121	0.8241	0.8049	0.8084	0.8522	0.8117	0.8249	0.8321	0.8171	0.8514	0.8171	0.8278	0.8321	0.8068	0.8185	0.8572	0.8133	0.826	0.9184	0.805	0.8073	0.8124	0.8147	0.81	0.8094	0.8051	0.809	0.8144	0.8111	0.8191	0.82	0.8257	0.8081	0.8077	0.8484	0.8063	0.8101	0.8215	0.8158	0.8132	0.8177	0.8125	0.8398	0.8178	0.8137	0.8412	0.8102	0.8494	0.8769	0.8111	0.8136	0.8827	0.8076	0.8078	0.8441	0.8089	0.7997	0.8049	0.8286	0.8166	0.8019	0.8048	0.8269	0.8049	0.8139	0.8241	0.8359	0.8014	0.8085	0.8172	0.8548	0.8146	0.8141	0.8293	0.8353	0.8109	0.8153	0.8612	0.8042	0.8185	0.808	0.8251	0.8922	0.8004	0.8016	0.8035	0.8084	0.8093	0.8122	0.8069	0.8045	0.8004	0.8022	0.8077	0.8122	0.8079	0.8044	0.8201	0.8134	0.8191	0.8007	0.8243	0.8037	0.8021	0.8041	0.84	0.8054	0.8076	0.8231	0.8088	0.806	0.8029	0.8133	0.812	0.8047	0.8142	0.8596	0.8087	0.809	0.8135	0.8424	0.845	0.8058	0.8524	0.8774	0.8068	0.8045	0.8152	0.8749	0.8047	0.8023
D1.12	0.6999	0.7159	0.7333	0	0.7189	0.7347	0.7013	0.887	0.6997	0.7089	0.7086	0.7032	0.7002	0.7153	0.7162	0.7272	0.7063	0.7713	0.6918	0.6963	0.6979	0.7031	0.7058	0.7077	0.7264	0.7748	0.6918	0.8014	0.6597	0.7795	0.8436	0.7031	0.8105	0.6968	0.778	0.815	0.7924	0.8068	0.8166	0.7903	0.8801	0.7783	0.7856	0.7873	0.7784	0.7815	0.7882	0.7894	0.7964	0.7839	0.8126	0.786	0.7901	0.791	0.7908	0.7989	0.7829	0.8056	0.8407	0.7883	0.8335	0.7798	0.8227	0.7816	0.8333	0.7892	0.8034	0.7809	0.785	0.8362	0.7887	0.8046	0.813	0.7946	0.8357	0.7953	0.8083	0.8137	0.7829	0.7972	0.8425	0.7907	0.8062	0.911	0.7806	0.7833	0.7896	0.7926	0.7871	0.786	0.7803	0.7859	0.792	0.788	0.7978	0.7985	0.8058	0.7842	0.7836	0.832	0.7818	0.7868	0.8004	0.7941	0.7912	0.7962	0.7897	0.8222	0.796	0.7914	0.8243	0.7874	0.8331	0.8647	0.7886	0.791	0.8721	0.7838	0.7844	0.8268	0.7851	0.7744	0.7805	0.809	0.7947	0.7773	0.7804	0.8068	0.7809	0.7914	0.8039	0.8176	0.7761	0.7852	0.7954	0.8398	0.7925	0.7916	0.8093	0.8168	0.7878	0.793	0.8464	0.7793	0.7972	0.7844	0.8049	0.8819	0.775	0.7764	0.7789	0.7851	0.7858	0.7895	0.7827	0.7799	0.775	0.777	0.7842	0.7886	0.7834	0.7799	0.7984	0.7911	0.7975	0.7752	0.8041	0.7792	0.7771	0.7798	0.8217	0.7811	0.7835	0.8026	0.7858	0.7823	0.778	0.7908	0.7894	0.78	0.792	0.8445	0.7848	0.7852	0.7915	0.825	0.8281	0.7821	0.8365	0.8652	0.7826	0.7805	0.7929	0.862	0.7805	0.777
D1.13	0.7176	0.7316	0.7471	0.7189	0	0.747	0.7193	0.8923	0.7179	0.7266	0.7263	0.7208	0.7181	0.7316	0.7323	0.7421	0.7238	0.783	0.71	0.7146	0.7159	0.721	0.7238	0.7249	0.7407	0.7831	0.7101	0.8112	0.7192	0.7725	0.851	0.7209	0.8207	0.7152	0.7911	0.8255	0.8046	0.8177	0.8262	0.8026	0.8863	0.7914	0.7984	0.7996	0.7915	0.7945	0.8009	0.8013	0.8077	0.7965	0.8233	0.7988	0.8024	0.8031	0.8033	0.8104	0.7957	0.8164	0.8484	0.8005	0.8426	0.7936	0.8327	0.7944	0.8419	0.8016	0.8144	0.7935	0.7977	0.8452	0.8013	0.8155	0.8233	0.8068	0.8444	0.8072	0.8192	0.8238	0.7958	0.8081	0.8502	0.803	0.8172	0.9153	0.7935	0.7963	0.8019	0.8046	0.7996	0.7983	0.7935	0.7983	0.8042	0.8001	0.809	0.8095	0.8164	0.7971	0.7964	0.8411	0.7948	0.7991	0.8121	0.8058	0.8032	0.8079	0.8016	0.8319	0.8075	0.8034	0.8332	0.7997	0.8413	0.8711	0.801	0.8031	0.8781	0.7964	0.7971	0.8364	0.7979	0.788	0.7937	0.8197	0.8065	0.7906	0.7936	0.8175	0.7943	0.8041	0.815	0.8273	0.7897	0.7976	0.8077	0.8484	0.8043	0.8038	0.8203	0.8269	0.8001	0.8048	0.8541	0.7926	0.8084	0.7972	0.8162	0.8877	0.7885	0.7898	0.792	0.7981	0.7988	0.8016	0.7958	0.7929	0.7885	0.7903	0.7965	0.8009	0.7966	0.7929	0.8097	0.8024	0.8084	0.7888	0.8146	0.7922	0.7906	0.7929	0.8315	0.7942	0.7966	0.8135	0.7983	0.7955	0.7918	0.803	0.8014	0.7935	0.8043	0.8532	0.7979	0.7979	0.8038	0.8336	0.8367	0.7948	0.8444	0.872	0.7956	0.7938	0.8052	0.8692	0.7936	0.7906
D1.14	0.7349	0.7463	0.7612	0.7347	0.747	0	0.7348	0.8967	0.735	0.7428	0.7423	0.7378	0.7353	0.7477	0.748	0.7572	0.7399	0.7948	0.7276	0.7306	0.7324	0.7364	0.7398	0.7406	0.7554	0.7952	0.7272	0.8204	0.7357	0.8024	0.835	0.7376	0.829	0.732	0.8047	0.8351	0.8164	0.8279	0.8361	0.8145	0.8916	0.8046	0.811	0.8122	0.8048	0.8075	0.8128	0.814	0.8193	0.8092	0.8333	0.8108	0.8142	0.8152	0.8151	0.822	0.8087	0.8272	0.8569	0.8129	0.8511	0.8063	0.8421	0.8075	0.8512	0.8139	0.825	0.8062	0.8096	0.8534	0.8129	0.8261	0.8333	0.8178	0.8522	0.8182	0.8293	0.8333	0.8078	0.8193	0.8581	0.8144	0.8273	0.9191	0.8062	0.8088	0.8135	0.8162	0.8116	0.8104	0.8064	0.8108	0.8157	0.8125	0.8202	0.8207	0.827	0.8092	0.8088	0.8495	0.8074	0.8112	0.8229	0.8169	0.8144	0.819	0.8139	0.8415	0.8189	0.8153	0.8425	0.8116	0.8504	0.8776	0.8129	0.8147	0.8838	0.8091	0.8092	0.8453	0.8098	0.8009	0.8062	0.8296	0.8178	0.8033	0.8061	0.8282	0.8062	0.8153	0.8254	0.8371	0.8027	0.8097	0.8181	0.8562	0.8157	0.8151	0.8298	0.8361	0.8117	0.8159	0.8615	0.805	0.8197	0.8092	0.8263	0.8929	0.8015	0.8028	0.8046	0.8098	0.8108	0.8136	0.8079	0.8053	0.8015	0.8031	0.809	0.8129	0.8088	0.8055	0.8205	0.8144	0.8198	0.8016	0.8254	0.8051	0.8033	0.8052	0.8408	0.8065	0.8085	0.824	0.8098	0.8075	0.8042	0.8145	0.813	0.8056	0.8152	0.8606	0.8096	0.81	0.8151	0.8431	0.8458	0.8069	0.853	0.8779	0.8078	0.8059	0.8163	0.8756	0.8059	0.8035
D1.15	0.7003	0.7161	0.7338	0.7013	0.7193	0.7348	0	0.887	0.7007	0.7097	0.7095	0.7042	0.7008	0.716	0.7169	0.728	0.7069	0.7716	0.6925	0.697	0.6982	0.7035	0.7068	0.7083	0.7268	0.7747	0.6923	0.8019	0.7017	0.7794	0.8435	0.6625	0.8112	0.6973	0.7787	0.8157	0.7929	0.8072	0.8171	0.7908	0.8803	0.7789	0.7862	0.7878	0.7786	0.7823	0.7888	0.7899	0.7974	0.7843	0.8135	0.7864	0.7906	0.7915	0.7913	0.7996	0.7836	0.806	0.8406	0.7887	0.8341	0.7806	0.8232	0.7819	0.8335	0.7898	0.8043	0.781	0.7851	0.8366	0.789	0.8048	0.8132	0.7953	0.8362	0.7956	0.8087	0.8138	0.7834	0.7975	0.843	0.7913	0.8065	0.9117	0.7809	0.784	0.79	0.7929	0.7876	0.7862	0.7808	0.7862	0.7922	0.7885	0.7984	0.7989	0.8062	0.785	0.7845	0.8325	0.7825	0.7874	0.8007	0.7943	0.7914	0.7967	0.7903	0.8227	0.7962	0.7917	0.8244	0.7875	0.8335	0.8651	0.7893	0.7918	0.8722	0.7844	0.7851	0.8275	0.7857	0.7748	0.7809	0.8095	0.7951	0.7778	0.7808	0.8073	0.7812	0.7923	0.8044	0.8175	0.7768	0.7856	0.796	0.8401	0.7925	0.7921	0.8098	0.8175	0.7885	0.7935	0.8468	0.78	0.7974	0.785	0.8055	0.8824	0.7757	0.7767	0.779	0.7854	0.7863	0.7899	0.783	0.7804	0.7753	0.7774	0.7843	0.7893	0.784	0.7804	0.7986	0.7917	0.7979	0.7757	0.8044	0.78	0.7777	0.7799	0.8222	0.7817	0.7842	0.8028	0.7863	0.7828	0.7785	0.7914	0.7899	0.7808	0.7925	0.8449	0.7856	0.7858	0.792	0.8252	0.8284	0.7822	0.8367	0.8656	0.7833	0.7809	0.7933	0.8624	0.7809	0.7778
D1.16	0.8894	0.8912	0.8957	0.887	0.8923	0.8967	0.887	0	0.8891	0.8908	0.8907	0.8896	0.889	0.8935	0.8926	0.8961	0.8909	0.9085	0.8851	0.886	0.886	0.888	0.8909	0.8893	0.8938	0.9083	0.8855	0.9161	0.8892	0.9103	0.9317	0.89	0.8852	0.8862	0.9184	0.9275	0.9212	0.9252	0.9279	0.9206	0.9475	0.9186	0.9196	0.9204	0.918	0.9194	0.9213	0.9212	0.9233	0.9197	0.9276	0.9196	0.9204	0.9202	0.9209	0.9233	0.92	0.9246	0.9358	0.9201	0.9326	0.9189	0.9302	0.9192	0.9331	0.9205	0.9242	0.9177	0.9187	0.9331	0.9193	0.9233	0.9258	0.9212	0.9323	0.921	0.9238	0.9259	0.9184	0.9221	0.9345	0.9199	0.9235	0.9573	0.9176	0.9188	0.92	0.9208	0.9198	0.9193	0.9181	0.9184	0.9212	0.9199	0.9221	0.9229	0.9249	0.9193	0.9186	0.932	0.9188	0.9186	0.9222	0.9207	0.9198	0.9208	0.9196	0.928	0.9215	0.9199	0.9289	0.9196	0.9324	0.9419	0.9194	0.9197	0.9435	0.919	0.9186	0.9305	0.9194	0.9164	0.9179	0.9249	0.9215	0.9171	0.9175	0.9241	0.9171	0.9202	0.923	0.9271	0.917	0.9181	0.921	0.9332	0.92	0.9199	0.9246	0.9264	0.9196	0.9205	0.9362	0.9179	0.9215	0.9182	0.923	0.9463	0.9163	0.9168	0.9173	0.9179	0.9194	0.9198	0.9181	0.9178	0.9166	0.9171	0.9185	0.92	0.9191	0.918	0.9225	0.9206	0.9221	0.9167	0.9238	0.9176	0.9172	0.9177	0.9286	0.9171	0.9184	0.9227	0.9177	0.9181	0.9173	0.9194	0.9192	0.9173	0.9202	0.9348	0.9183	0.9183	0.9197	0.9287	0.9312	0.918	0.9335	0.942	0.9177	0.9174	0.9199	0.9401	0.9176	0.9173
D1.17	0.653	0.715	0.733	0.6997	0.7179	0.735	0.7007	0.8891	0	0.6667	0.6666	0.6576	0.6534	0.6717	0.6734	0.6857	0.6611	0.7411	0.6493	0.6948	0.6969	0.7017	0.6615	0.7067	0.7261	0.7741	0.6899	0.8026	0.6546	0.7512	0.8249	0.6571	0.788	0.695	0.7572	0.801	0.7757	0.7923	0.8026	0.7733	0.8734	0.7575	0.7669	0.7682	0.7577	0.7614	0.7695	0.7704	0.7785	0.7642	0.7969	0.7679	0.773	0.7744	0.7736	0.7829	0.763	0.7906	0.8285	0.7705	0.822	0.7599	0.8083	0.7615	0.8196	0.7722	0.788	0.7612	0.7667	0.825	0.7724	0.7911	0.7997	0.7794	0.8257	0.7798	0.7952	0.8005	0.7638	0.7813	0.8327	0.7744	0.7926	0.908	0.7613	0.7647	0.7724	0.7753	0.7692	0.7677	0.761	0.7675	0.7743	0.7696	0.7811	0.7814	0.7897	0.7658	0.765	0.8197	0.7628	0.7699	0.7858	0.7786	0.7748	0.7812	0.7734	0.8108	0.7802	0.7755	0.8119	0.7688	0.8214	0.8567	0.7724	0.7751	0.865	0.7653	0.7656	0.8142	0.7667	0.7543	0.7619	0.794	0.7776	0.758	0.7621	0.792	0.7637	0.7762	0.79	0.8048	0.7569	0.7683	0.7806	0.8303	0.7766	0.7762	0.7965	0.8048	0.7718	0.7778	0.8374	0.7605	0.782	0.7677	0.7917	0.8764	0.7558	0.7566	0.7599	0.7679	0.7679	0.7724	0.7643	0.7613	0.7548	0.7578	0.7658	0.7709	0.7652	0.7609	0.782	0.7733	0.7808	0.7557	0.7885	0.7605	0.7578	0.7607	0.8083	0.764	0.7667	0.7888	0.7697	0.7653	0.7589	0.7754	0.7734	0.7624	0.7769	0.8356	0.7685	0.7686	0.7764	0.8132	0.8155	0.7637	0.8249	0.8571	0.7659	0.763	0.7778	0.8546	0.7619	0.7577
D1.18	0.6667	0.7238	0.741	0.7089	0.7266	0.7428	0.7097	0.8908	0.6667	0	0.6752	0.6712	0.6677	0.6847	0.6863	0.6995	0.6743	0.7495	0.7004	0.6648	0.7064	0.7113	0.6745	0.7157	0.7346	0.7818	0.7003	0.8078	0.6683	0.759	0.83	0.6709	0.7941	0.7047	0.7667	0.8075	0.7838	0.7988	0.8092	0.7811	0.8767	0.7667	0.7744	0.7757	0.7667	0.7702	0.7775	0.7786	0.7863	0.773	0.8035	0.7763	0.7807	0.7817	0.7816	0.7905	0.7719	0.7977	0.8345	0.7786	0.8269	0.7688	0.8146	0.7701	0.8252	0.7801	0.7951	0.7699	0.7749	0.8296	0.7804	0.7977	0.8064	0.787	0.8305	0.7873	0.8015	0.8066	0.7726	0.7889	0.8375	0.7824	0.7988	0.9096	0.7702	0.7734	0.7796	0.7823	0.7768	0.7758	0.7702	0.7756	0.7823	0.7781	0.7884	0.7893	0.7973	0.774	0.7736	0.8251	0.7719	0.7779	0.793	0.7862	0.7828	0.7881	0.7812	0.8166	0.7879	0.7829	0.8183	0.7773	0.8273	0.861	0.78	0.7827	0.8686	0.774	0.7746	0.8197	0.775	0.7636	0.7704	0.8005	0.7853	0.7668	0.7702	0.7986	0.772	0.7833	0.7965	0.8104	0.7658	0.7762	0.7878	0.8346	0.784	0.7835	0.8028	0.8104	0.7791	0.7853	0.8419	0.7687	0.7887	0.7756	0.798	0.879	0.7642	0.7655	0.7684	0.7746	0.7752	0.7788	0.7723	0.769	0.764	0.7664	0.774	0.7789	0.7732	0.7694	0.7892	0.781	0.7881	0.7645	0.7955	0.7685	0.7665	0.7696	0.8141	0.7721	0.7747	0.7952	0.7771	0.7731	0.7677	0.783	0.7808	0.771	0.784	0.84	0.7761	0.7767	0.7835	0.8188	0.8219	0.7717	0.8307	0.8615	0.7738	0.771	0.785	0.8585	0.7703	0.7668
